########## 产品及系统 (Z5bYkY) range=A1:U244 ##########
																				
1、标准组件																				
类别	品名	认证	产品图片	参数																
450w	450W双玻板	 IEC 61215, IEC 61730, ISO 9001, ISO 14001, ISO 45001	[{"id":1,"type":"embed-image"}]	Model: CN450W\nMaximum Power (Pmax): 450W\nMaximum Power Voltage (Vmp): 30.93V\nMaximum Power Current (Imp): 14.55A\nOpen-circuit Voltage (Voc): 35.01V\nShort-circuit Current (Isc): 15.47A\nModule Efficiency (STC): 23.04%\nOperating Temperature: -40 ~ +85°C\nMaximum System Voltage: 1500V DC\nMaximum Series Fuse Rating: 30A\nPower Tolerance: 0~±5W\nTemperature Coefficient of Pmax: -0.290%/°C\nTemperature Coefficient of Voc: -0.250%/°C\nTemperature Coefficient of Isc: +0.045%/°C\nNominal Operating Cell Temperature (NOCT): 42°C±2°C\nProtection Class: II\nBifaciality: 80% ± 5%\nCell Type: Mono-crystalline silicon, 182×105mm\nNumber of Cells: 96 pcs (6×8×2)\nDimensions: 1762×1134×30 mm\nWeight: 24.5kg\nGlass: 2.0+2.0mm Tempered Glass\nFrame: Silver Anodized Aluminium Alloy\nJunction Box: IP68\nCable Length: 300mm\nWarranty: 25-Year Product Warranty; 30-Year Linear Power Warranty																
580w		IEC 61215, IEC 61730, ISO 9001, ISO 14001, ISO 45001		Model: CN580W\nMaximum Power (Pmax): 580W\nMaximum Power Voltage (Vmp): 42.60V\nMaximum Power Current (Imp): 13.62A\nOpen-circuit Voltage (Voc): 51.47V\nShort-circuit Current (Isc): 14.37A\nModule Efficiency (STC): /\nOperating Temperature: -40 ~ +85°C\nMaximum System Voltage: 1500V DC\nMaximum Series Fuse Rating: 25A\nPower Tolerance: 0~+5W\nTemperature Coefficient of Pmax: -0.35%/°C\nTemperature Coefficient of Voc: -0.275%/°C\nTemperature Coefficient of Isc: +0.045%/°C\nNominal Operating Cell Temperature (NOCT): 42°C±2°C\nCell Type: N-type Mono-crystalline silicon, 182×183.75mm\nNumber of Cells: 144 pcs (6×12×2)\nDimensions: 2278×1134×30 mm\nWeight: 30kg\nGlass: 2.0×2mm Tempered Glass\nFrame: Anodized Aluminium Alloy\nJunction Box: IP68, 3 Bypass Diodes\nCable Length: 300mm\nWarranty: 25-Year Product Warranty; 30-Year Linear Power Warranty																
620w		IEC 61215, IEC 61730, ISO 9001, ISO 14001, ISO 45001		Model: CN620W\nMaximum Power (Pmax): 620W\nMaximum Power Voltage (Vmp): 40.82V\nMaximum Power Current (Imp): 15.19A\nOpen-circuit Voltage (Voc): 48.10V\nShort-circuit Current (Isc): 16.06A\nModule Efficiency (STC): 23%\nOperating Temperature: -40 ~ +85°C\nMaximum System Voltage: 1500V DC\nMaximum Series Fuse Rating: 30A\nPower Tolerance: 0~+3%\nTemperature Coefficient of Pmax: -0.28%/°C\nTemperature Coefficient of Voc: -0.24%/°C\nTemperature Coefficient of Isc: +0.046%/°C\nNominal Operating Cell Temperature (NOCT): 45°C±2°C\nCell Type: N-type Mono-crystalline silicon, 182×105mm\nNumber of Cells: 132 pcs (6×11×2)\nDimensions: 2382×1134×30 mm\nWeight: 32.5kg\nGlass: 2.0×2mm Tempered Glass\nFrame: Anodized Aluminium Alloy\nJunction Box: IP68, 3 Bypass Diodes\nCable Length: 300mm\nWarranty: 25-Year Product Warranty; 30-Year Linear Power Warranty																
																				
2、非标组件																				
类别	品名	认证	产品图片	参数																
180w	180W单玻板	待取证（UL）	[{"id":2,"type":"embed-image"}]	Maximum Power at STC (Pmax): 180W\nMaximum Power Voltage (Vmp): 21.93V\nMaximum Power Current (Imp): 8.21A\nOpen-circuit Voltage (Voc): 25.56V\nShort-circuit Current (Isc): 8.62A\nCell Type: N-Type, 16BB, 182mm, Monocrystalline Silicon\nCell Efficiency: 25%\nPower Tolerance: 0~+5%\nMaximum System Voltage: 1000V DC\nMaximum Series Fuse Rating: 25A\nFirst Year Degradation Rate: 1%\nLinear Degradation Rate: 0.4%/year\nCommitment to Maintain 84.5% Output: 25 years																
